ISBN,Título,Autor,Editorial
9786074003512,"Compro, luego existo","Loaeza, Guadalupe",Océano exprés
9786074005394,"Debo, luego sufro","Loaeza, Guadalupe",Océano exprés
9786074006902,Mujeres maravillosas,"Loaeza, Guadalupe",Océano exprés
9786074006919,"Reinas de Polanco, Las","Loaeza, Guadalupe",Océano exprés
9786074005653,20 pasos hacia adelante,"Bucay, Jorge",Océano exprés
9786074003529,Cartas para Claudia,"Bucay, Jorge",Océano exprés
9786074006407,Cuenta conmigo,"Bucay, Jorge",Océano exprés
9786074006391,Cuentos para pensar,"Bucay, Jorge",Océano exprés
9786074005660,De la autoestima al egoísmo,"Bucay, Jorge",Océano exprés
9786077352211,Llegar a la cima y seguir subiendo. El sexto camino,"Bucay, Jorge",Océano exprés
9786074003536,Recuentos para Demián,"Bucay, Jorge",Océano exprés
9786077357087,"Tres preguntas, Las","Bucay, Jorge",Océano exprés
9786074005370,Todo (no) terminó,"Bucay, Jorge/Salinas, Silvia",Océano exprés
9786074003659,"Camino de la autodependencia, El","Bucay, Jorge",Océano exprés
9786074004298,"Camino de la felicidad, El","Bucay, Jorge",Océano exprés
9786074004281,"Camino de las lágrimas, El","Bucay, Jorge",Océano exprés
9786074003666,"Camino del encuentro, El","Bucay, Jorge",Océano exprés
9786074006049,De la ignorancia a la sabiduría. El camino de Shimriti,"Bucay, Jorge",Océano exprés
9786074003567,"Cinco personas que encontrarás en el cielo, Las","Albom, Mitch",Océano exprés
9786074003703,Martes con mi viejo profesor (Quinta edición),"Albom, Mitch",Océano exprés
9786077354741,Deshojando margaritas. Acerca del amor convencional y otras malas costumbres,"Riso, Walter",Océano exprés
9786077355601,"Fidelidad es mucho más que amor, La. Cómo prevenir y afrontar los problemas de la infidelidad","Riso, Walter",Océano exprés
9786077356035,Lo que toda mujer debe saber acerca de los hombres. La afectividad masculina,"Riso, Walter",Océano exprés
9786077354680,Sabiduría emocional. Un reencuentro con las fuentes naturales del bienestar y la salud emocional,"Riso, Walter",Océano exprés
9786077352631,Pedro Infante. El ídolo inmortal,"Infante Quintanilla, José Ernesto",Océano exprés
9786074007282,"Enseñanzas del profesor: Grupo Atlacomulco, Las. De Hank González a Peña Nieto","Martínez, José",Océano exprés
9786078303205,"Maestra, La. Vida y hechos de Elba Esther Gordillo (edición puesta al día)","Martínez, José",Océano exprés
9786077356868,"Diez magníficos, Los. Un niño en el mundo de las matemáticas","Cerasoli, Anna",Océano exprés
9786077356097,"Sorpresa de los números, La","Cerasoli, Anna",Océano exprés
9786074005523,"Divina comedia, La","Alighieri, Dante",Océano exprés
9786077351917,"Zarco, El","Altamirano, Ignacio Manuel",Océano exprés
9786077351962,Corazón. Diario de un niño,"Amicis, Edmundo de",Océano exprés
9786077351955,"Obra maestra desconocida, La","Balzac, Honoré de",Océano exprés
9786077353256,Oficio de leer,"Garibay, Ricardo",Océano exprés
9786077351948,Antología poética,"Nervo, Amado",Océano exprés
9786077351900,"Bola, La","Rabasa, Emilio",Océano exprés
9786077351924,Cuentos,"Reyes, Alfonso",Océano exprés
9786077350989,Hombres ¿maravillosos?,"Loaeza, Guadalupe",Océano exprés
9786078303953,Morir en Malasia,"Michel, Víctor Hugo",Océano exprés
9786077351337,"Suerte de la consorte, La (Edición actualizada)","Sefchovich, Sara",Océano exprés
9786074005516,"Librero de Kabul, El","Seierstad, Asne",Océano exprés
9786074003543,Sopita de fideo,"Pacheco, Cristina",Océano exprés
9786074009767,"Trabajos perdidos, Los","Pacheco, Cristina",Océano exprés
9786077356073,Ovejas negras. Rebeldes de la iglesia mexicana del siglo XXI,"Ruiz Parra, Emiliano",Océano exprés
9786074005745,Mexicanidad y esquizofrenia,"Basave, Agustín",Océano exprés
9786077353430,Padre y memoria,"Campbell, Federico",Océano exprés
9786077352242,"Escribir y leer con los niños, los adolescentes y los jóvenes","Domingo Argüelles, Juan",Océano exprés
9786074006582,"Despertar de la sociedad civil, El (Edición actualizada)","Fernández Santillán, José",Océano exprés
9786077352235,"Próximos 100 años, Los. Pronósticos para el siglo XXI","Friedman, George",Océano exprés
9786074006834,"Diablo, El. Orígenes de un mito","Maza, Enrique",Océano exprés
9786078303670,Manual del poder ciudadano (edición actualizada),"Richter, Ulrich",Océano exprés
9786074008463,País de mentiras,"Sefchovich, Sara",Océano exprés
9786074007626,¿Qué hay en su cabeza? Vivimos como pensamos,"Antonini, Celia",Océano exprés
9786077354581,"Cerebro del triunfador, El. 8 estrategias de las grandes mentes para alcanzar el éxito","Brown, Jeff/Fenske, Mark",Océano exprés
9786074009194,Mirar de nuevo,"Bucay, Demián",Océano exprés
9786077356080,"Siete secretos del Dr. Perricone para la belleza, salud y longevidad, Los","Perricone, Nicholas",Océano exprés
9786077352204,Sólo para parejas,"Torre, Fernanda de la",Océano exprés
9786077351832,María Magdalena. La diosa prohibida del cristianismo,"Picknett, Lynn",Océano exprés
9786077350507,Maravillas del mundo,"Luraghi, Elena",Océano exprés
9786077350484,Automóviles,"Rizzo, Enzo",Océano exprés
9786077350491,Caballos,"Schiavo, Rita",Océano exprés
9786077350514,Maravillas de la naturaleza,"Stoppa, Simona",Océano exprés
9786077350477,Civilizaciones antiguas,"Trifoni, Jasmina",Océano exprés
9786077350521,Grandes ciudades del mundo,"Trifoni, Jasmina",Océano exprés
9786074009750,"Ley 50, La","Greene, Robert/50 Cent",Océano exprés
9786074005950,"Secretos del hombre más rico del  mundo. Carlos Slim, Los","Martínez, José",Océano exprés
9786074005134,"Cazadores de mamuts, Los (Nueva edición exprés)","Auel, Jean M.",Océano exprés
9786074004342,"Clan del oso cavernario, El (Nueva edición exprés)","Auel, Jean M.",Océano exprés
9786074005141,"Llanuras del tránsito, Las (Nueva edición exprés)","Auel, Jean M.",Océano exprés
9786074005486,"Refugios de piedra, Los","Auel, Jean M.",Océano exprés
9786077352198,"Tierra de las cuevas pintadas, La","Auel, Jean M.",Océano exprés
9786074004359,"Valle de los caballos, El (Nueva edición exprés)","Auel, Jean M.",Océano exprés
9786078303175,Abecé de redacción,"Araya Araya, Eric",Océano exprés
9786074009187,Matemática divertida y curiosa,"Tahan, Malba",Océano exprés
9786074003673,"Hombres son de Marte, las mujeres son de Venus, Los","Gray, John",Océano exprés
9786074007398,"Hombres son de Marte, Los. Para entender al hombre de tu vida","Gray, John",Océano exprés
9786074007404,"Mujeres son de Venus, Las. Para entender a la mujer de tu vida","Gray, John",Océano exprés
9786074006230,"Almendra, La",Nedjma,Océano exprés
9786074007497,"Chicos que cayeron en la trampa, Los","Adler-Olsen, Jussi",Océano exprés
9786078303656,"Mensaje que llegó en una botella, El","Adler-Olsen, Jussi",Océano exprés
